Id,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,hydroxyl..alkyl.,aldehyde,ketone,carboxylic.acid,ester,ether..alicyclic.,nitrate,nitro,aromatic.hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester,parentspecies_apin,parentspecies_apin_decane,parentspecies_apin_decane_toluene,parentspecies_apin_toluene,parentspecies_decane,parentspecies_decane_toluene,parentspecies_toluene,log10_pSat_Pa
30,-0.8715958318200864,-1.5709175840018943,-1.2815643828403924,9,1,1,51,36,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0.2121876044039577
31,-0.229969802103853,-1.1892954624262182,-1.2815643828403924,11,1,2,62,16,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,-1.8655116225066717
32,0.6723043835608306,-0.8076733408505423,-1.2815643828403924,13,2,1,61,40,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0.6729286904427224
33,0.632605901605934,-0.4260512192748663,-0.5927774436012687,12,2,1,215,40,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,-1.2199525838159793
34,0.0511447307993675,-0.6168622800627043,-0.5927774436012687,11,1,2,352,40,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,-1.935373286450723
37,-0.0289820240968682,-0.6168622800627043,0.096009495637855,10,1,1,90,40,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-3.388804052293188
38,0.2918309907612478,-0.4260512192748663,0.096009495637855,11,1,1,67,27,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,-2.187707701378365
39,-0.6309095718582062,-1.3801065232140564,-0.5927774436012687,9,1,0,28,28,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.5334360709860028
41,-0.0289820240968682,-0.6168622800627043,0.096009495637855,10,1,1,127,21,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.7659144415445596
43,-0.8715958318200864,-1.5709175840018943,-1.2815643828403924,9,1,1,79,40,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.45506375363328
44,-0.3100965570000895,-1.1892954624262182,-0.5927774436012687,10,1,1,66,28,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.621084035003836
45,-0.6309095718582062,-1.3801065232140564,-0.5927774436012687,9,1,0,27,27,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.9313941967027644
46,0.8732921615678142,-0.2352401584870283,0.096009495637855,12,2,0,93,40,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.058599643686899
47,-0.5904812989168657,-0.9984844016383804,-0.5927774436012687,9,1,1,161,40,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.5573628394680887
49,-1.7936066034530955,-1.7617286447897322,-1.2815643828403924,6,1,1,29,22,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.3164073892142722
52,0.2918309907612478,-0.4260512192748663,0.096009495637855,11,1,1,208,28,0,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-3.144649352992568
53,-1.4727935885949794,-1.5709175840018943,-1.2815643828403924,7,1,1,61,40,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.825568455131669
54,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,1,156,40,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-1.7089539818357828
55,-0.5904812989168657,-0.9984844016383804,-0.5927774436012687,9,1,1,101,40,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.52357657119605
56,-0.0289820240968682,-0.6168622800627043,0.096009495637855,10,1,1,121,40,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-3.0438590645025347
57,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,1,69,35,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,-2.364506226325924
58,0.632605901605934,-0.4260512192748663,-0.5927774436012687,12,2,0,26,26,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.3604040547299388
59,-0.9112943137749824,-1.1892954624262182,-0.5927774436012687,8,1,0,22,22,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.1372358977629522
60,-0.3497950389549855,-0.8076733408505423,0.096009495637855,9,1,0,18,18,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.0369719420633314
61,-1.7936066034530955,-1.7617286447897322,-1.2815643828403924,6,1,1,18,9,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4825388133233471
63,0.5524791467096981,-0.4260512192748663,0.096009495637855,11,2,0,29,29,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.3406621988556089
65,-0.0289820240968682,-0.6168622800627043,0.096009495637855,10,1,2,109,36,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-4.316057772397925
66,0.632605901605934,-0.4260512192748663,-0.5927774436012687,12,2,2,62,21,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,-3.2768523642832235
68,-1.192408846678203,-1.7617286447897322,-1.2815643828403924,8,1,2,39,5,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1212314551496214
69,-0.831167558878746,-1.1892954624262182,-1.2815643828403924,9,1,3,253,20,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.347538010373716
70,-0.8715958318200864,-1.5709175840018943,-1.2815643828403924,9,1,2,29,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.7537362221750101
71,-0.8715958318200864,-1.5709175840018943,-1.2815643828403924,9,1,1,68,28,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.3904051564800809
72,-0.3100965570000895,-1.1892954624262182,-0.5927774436012687,10,1,1,71,22,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.3166529544040426
73,0.0711066267859376,-0.8076733408505423,-1.2815643828403924,11,2,2,90,21,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.6011567960611592
74,-0.5103545440206294,-0.9984844016383804,-1.2815643828403924,10,1,3,205,19,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-3.5707029376579613
75,-1.7936066034530955,-1.7617286447897322,-1.2815643828403924,6,1,1,15,11,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.561921473158793
76,-1.4727935885949794,-1.5709175840018943,-1.2815643828403924,7,1,2,28,6,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.0799486112564294
77,-1.1519805737368627,-1.3801065232140564,-1.2815643828403924,8,1,2,22,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.3678775066378803
78,-0.5904812989168657,-0.9984844016383804,-0.5927774436012687,9,1,1,52,30,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8402315949581088
79,-0.6309095718582062,-1.3801065232140564,-0.5927774436012687,9,1,1,16,9,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.2431367079289594
80,-0.5904812989168657,-0.9984844016383804,-0.5927774436012687,9,1,2,60,32,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.9073456657091576
81,0.3322592637025882,-0.0444290976991903,0.096009495637855,11,1,3,315,22,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-5.024016242043436
82,0.5929074196510384,-0.0444290976991903,0.096009495637855,11,2,2,175,3,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.567083664229506
83,0.011446248844472,-0.2352401584870283,0.096009495637855,10,1,3,294,6,0,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-4.105090974169778
85,-2.0747211363563167,-2.3341618271532463,-1.9703513220795164,6,1,1,10,7,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4356373581427038
87,-1.4330951066400832,-1.9525397055775704,-1.9703513220795164,8,1,2,24,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.9516785880671188
88,-0.8715958318200864,-1.5709175840018943,-1.2815643828403924,9,1,2,53,15,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.2616137593569821
89,0.0711066267859376,-0.8076733408505423,-1.2815643828403924,11,2,1,142,39,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.121245844441456
92,-2.315407396318197,-2.524972887941084,-2.65913826131864,6,1,1,8,7,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.734239604435455
93,-0.831167558878746,-1.1892954624262182,-1.2815643828403924,9,1,2,274,40,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-2.425305270216634
94,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,2,316,40,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-2.687943047864786
96,0.0711066267859376,-0.8076733408505423,-1.2815643828403924,11,2,1,160,40,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.2670713998137877
97,0.632605901605934,-0.4260512192748663,-0.5927774436012687,12,2,1,205,40,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.6798308693532604
98,-0.831167558878746,-1.1892954624262182,-1.2815643828403924,9,1,2,224,40,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-1.61766762456724
99,-0.5103545440206294,-0.9984844016383804,-1.2815643828403924,10,1,2,319,40,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-1.9643640109128544
100,0.0511447307993675,-0.6168622800627043,-0.5927774436012687,11,1,2,342,40,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-2.494871226625843
101,-1.4727935885949794,-1.5709175840018943,-1.2815643828403924,7,1,1,34,20,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4987239707479046
102,-0.831167558878746,-1.1892954624262182,-1.2815643828403924,9,1,2,57,13,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-1.7110521538343346
103,0.0711066267859376,-0.8076733408505423,-1.2815643828403924,11,2,1,57,34,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.8610562445768735
106,0.6730341745472743,-0.0444290976991903,-0.5927774436012687,12,2,2,262,40,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.4539588449876903
107,-0.3093667660136451,-0.4260512192748663,0.096009495637855,9,1,2,248,40,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.6482178233588292
108,-1.1519805737368627,-1.3801065232140564,-1.2815643828403924,8,1,1,51,37,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.4851021810972324
110,0.0511447307993675,-0.6168622800627043,-0.5927774436012687,11,1,2,116,40,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-3.151415566705278
111,0.9534189164640512,-0.2352401584870283,-0.5927774436012687,13,2,1,81,40,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,-0.4899305035661401
112,-0.831167558878746,-1.1892954624262182,-1.2815643828403924,9,1,1,98,40,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-0.1185757112434958
113,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,1,101,29,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-0.9612438969442888
114,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,2,138,40,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-2.353383281533089
115,-1.7539081214982,-2.1433507663654083,-1.9703513220795164,7,1,1,26,18,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8942052591420838
116,-1.4330951066400832,-1.9525397055775704,-1.9703513220795164,8,1,2,70,20,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.0473661852317675
117,-1.112282091781967,-1.7617286447897322,-1.9703513220795164,9,1,2,69,32,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.9417629461380268
118,0.011446248844472,-0.2352401584870283,0.096009495637855,10,1,3,335,17,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-3.3212898398992805
119,0.3322592637025882,-0.0444290976991903,0.096009495637855,11,1,3,312,13,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-3.1029486066087357
120,1.2345334493672715,0.3371930238764857,0.096009495637855,13,2,2,334,40,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,-1.11290489818912
121,-0.831167558878746,-1.1892954624262182,-1.2815643828403924,9,1,2,205,40,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-0.9186878080889262
122,-0.811205662892176,-1.3801065232140564,-1.9703513220795164,9,2,1,61,40,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3682868849021309
123,-1.4330951066400832,-1.9525397055775704,-1.9703513220795164,8,1,1,64,40,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4284587735155801
124,-0.8715958318200864,-1.5709175840018943,-1.2815643828403924,9,1,1,67,40,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2617385473525377
125,-0.229969802103853,-1.1892954624262182,-1.2815643828403924,11,1,2,120,40,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-2.350501913269752
126,0.6723043835608306,-0.8076733408505423,-1.2815643828403924,13,2,1,72,40,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.3579348470004537
127,0.632605901605934,-0.4260512192748663,-0.5927774436012687,12,2,1,179,40,0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.215708686744536
128,0.0511447307993675,-0.6168622800627043,-0.5927774436012687,11,1,2,380,40,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-2.937799279304889
129,0.0711066267859376,-0.8076733408505423,-1.2815643828403924,11,2,1,132,40,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.535025248351576
130,-0.5103545440206294,-0.9984844016383804,-1.2815643828403924,10,1,2,213,40,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,-1.3894646176331384
131,-1.112282091781967,-1.7617286447897322,-1.9703513220795164,9,1,1,66,40,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.4668676203541095
133,-0.3497950389549855,-0.8076733408505423,0.096009495637855,9,1,1,63,40,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.4170923280877328
134,-0.3497950389549855,-0.8076733408505423,0.096009495637855,9,1,1,68,40,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.0752997459619301
135,-0.3093667660136451,-0.4260512192748663,0.096009495637855,9,1,2,162,40,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-4.253884995123431
136,0.5524791467096981,-0.4260512192748663,0.096009495637855,11,2,0,29,29,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0151920417628344
137,0.5929074196510384,-0.0444290976991903,0.096009495637855,11,2,1,125,40,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.9843715137186138
138,-0.0289820240968682,-0.6168622800627043,0.096009495637855,10,1,1,103,40,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-1.1552182831074895
139,0.011446248844472,-0.2352401584870283,0.096009495637855,10,1,2,255,40,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-3.749383570223203
140,-0.9112943137749824,-1.1892954624262182,-0.5927774436012687,8,1,1,30,21,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.174018008167911
141,-0.6706080538131022,-0.9984844016383804,0.096009495637855,8,1,0,10,10,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.8981764834976765
142,-0.3497950389549855,-0.8076733408505423,0.096009495637855,9,1,1,15,5,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.0257562127911284
143,-0.0289820240968682,-0.6168622800627043,0.096009495637855,10,1,1,29,17,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,-1.7129970359562217
144,0.8732921615678142,-0.2352401584870283,0.096009495637855,12,2,0,16,16,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.4383841070347141
145,-0.3093667660136451,-0.4260512192748663,0.096009495637855,9,1,2,64,19,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.195798765889548
146,-0.6301797808717619,-0.6168622800627043,0.096009495637855,8,1,1,36,35,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.7967485567720127
147,-0.0289820240968682,-0.6168622800627043,0.096009495637855,10,1,1,15,8,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-0.5102025471832429
149,0.9137204345091546,0.1463819630886477,0.096009495637855,12,2,2,50,2,0,0,2,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.7777996732629697
150,0.3322592637025882,-0.0444290976991903,0.096009495637855,11,1,3,151,3,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1.3519508325993843
153,-0.9112943137749824,-1.1892954624262182,-0.5927774436012687,8,1,1,47,30,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.602875783610014
154,-0.9517225867163228,-1.5709175840018943,-0.5927774436012687,8,1,0,10,10,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.9416108021536338
155,-0.6309095718582062,-1.3801065232140564,-0.5927774436012687,9,1,1,17,7,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.9052463993013012
156,-0.3100965570000895,-1.1892954624262182,-0.5927774436012687,10,1,1,16,7,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,-1.6918969304858436
157,0.5921776286645936,-0.8076733408505423,-0.5927774436012687,12,2,0,11,11,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1.144138137663588
158,0.5524791467096981,-0.4260512192748663,0.096009495637855,11,2,0,38,38,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5626496722119166
160,-0.2696682840587491,-0.8076733408505423,-0.5927774436012687,10,1,2,115,40,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,-3.283951826960747
161,-0.9112943137749824,-1.1892954624262182,-0.5927774436012687,8,1,1,34,32,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.6755006780264334
164,1.2742319313221673,-0.0444290976991903,-0.5927774436012687,14,2,2,133,40,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,-1.6824733627369457
165,-2.0747211363563167,-2.3341618271532463,-1.9703513220795164,6,1,1,12,8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3869145373010749
166,-1.7539081214982,-2.1433507663654083,-1.9703513220795164,7,1,1,13,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.8858725458596675
